"id";"mem_used";"date"
1;2860.7;"2021-09-16 13:25:02"
2;2864.13;"2021-09-16 13:25:10"
3;2865.33;"2021-09-16 13:25:18"
4;2865.21;"2021-09-16 13:25:26"
5;2864.91;"2021-09-16 13:25:35"
6;2864.69;"2021-09-16 13:25:36"
7;2797.59;"2021-09-16 13:41:03"
8;2799.26;"2021-09-16 13:41:11"
9;2799.33;"2021-09-16 13:41:19"
10;2799.0;"2021-09-16 13:41:27"
11;2798.57;"2021-09-16 13:41:35"
12;2798.33;"2021-09-16 13:41:43"
13;2799.24;"2021-09-16 13:41:52"
14;2800.11;"2021-09-16 13:41:53"
15;2825.68;"2021-09-16 13:42:21"
