;/intelcpu/0/load/1;;;;;;;;;;;;
Time;CPU Core #1;;;;;;;;;;;;
09/20/2021 14:08:17;0.78125;;;;;;;;;;;;
09/20/2021 14:08:18;0;;;;;;;;;;;;
09/20/2021 14:08:19;390.625;;;;;;;;;;;;
09/20/2021 14:08:20;390.625;;;;;;;;;;;;
09/20/2021 14:08:21;0.78125;;;;;;;;;;;;
09/20/2021 14:08:22;390.625;;;;;;;;;;;;
09/20/2021 14:08:23;859.375;;;;;;;;;;;;
09/20/2021 14:08:24;3.125;;;;;;;;;;;;
09/20/2021 14:08:25;78.125;;;;;;;;;;;;
09/20/2021 14:08:26;390.625;;;;;;;;;;;;
09/20/2021 14:08:27;46.875;;;;;;;;;;;;
09/20/2021 14:08:28;46.875;;;;;;;;;;;;
09/20/2021 14:08:29;46.875;;;;;;;;;;;;
09/20/2021 14:08:30;703.125;;;;;;;;;;;;
09/20/2021 14:08:31;0;;;;;;;;;;;;
09/20/2021 14:08:32;15.625;;;;;;;;;;;;
09/20/2021 14:08:33;78.125;;;;;;;;;;;;
09/20/2021 14:08:34;6.25;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
