,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Core #1","CPU Core #2","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
09/20/2021 14:08:17,0.78125,1.5625,1.171875,50,48,1462.99976,1462.99976,132.999985,56.23593,2.13486481,1.66139984,41,34.3556061
09/20/2021 14:08:18,0,3.125,1.5625,50,46,1462.99963,1462.99963,132.999969,56.2365341,2.1348877,1.661377,41,34.3556061
09/20/2021 14:08:19,3.90625,6.25,5.078125,52,45,1462.99976,1462.99976,132.999985,56.2371368,2.13491058,1.66135406,41,34.3556061
09/20/2021 14:08:20,3.90625,3.90625,3.90625,52,48,1197.00012,2793.00024,133.000015,56.2403526,2.13503265,1.661232,41,34.3556061
09/20/2021 14:08:21,0.78125,2.34375,1.5625,49,47,1462.99988,1462.99988,132.999985,56.2494965,2.13537979,1.66088486,41,34.3556061
09/20/2021 14:08:22,3.90625,8.59375,6.25,51,48,1462.99988,1462.99988,133,56.253315,2.13552475,1.6607399,41,34.3556061
09/20/2021 14:08:23,8.59375,10.15625,9.375,55,50,2792.99854,2792.99854,132.999924,57.37825,2.17823029,1.61803436,41,34.3556061
09/20/2021 14:08:24,3.125,2.34375,2.734375,50,47,1197.00012,1463.00024,133.000015,57.0539856,2.16592026,1.63034439,41,34.3556061
09/20/2021 14:08:25,7.8125,8.59375,8.203125,53,47,1462.99988,1462.99988,132.999985,57.0515747,2.1658287,1.630436,41,34.3556061
09/20/2021 14:08:26,3.90625,3.125,3.515625,51,48,1462.99976,1462.99976,132.999985,57.04464,2.16556549,1.63069916,41,34.3556061
09/20/2021 14:08:27,4.6875,5.46875,5.078125,53,48,1462.99976,1462.99976,132.999985,57.3004761,2.17527771,1.62098694,41,34.3556061
09/20/2021 14:08:28,4.6875,4.6875,4.6875,52,47,1462.99963,1462.99963,132.999969,57.1429138,2.16929626,1.62696838,41,34.3556061
09/20/2021 14:08:29,4.6875,0.78125,2.734375,52,47,1463.00049,1463.00049,133.000046,57.1339722,2.16895676,1.62730789,41,34.3556061
09/20/2021 14:08:30,7.03125,3.125,5.078125,52,47,1462.99963,1462.99963,132.999969,57.1327667,2.168911,1.62735367,41,34.3556061
09/20/2021 14:08:31,0,3.125,1.5625,52,45,1463.00024,1463.00024,133.000031,57.23757,2.17288971,1.62337494,41,34.3556061
09/20/2021 14:08:32,15.625,10.15625,12.890625,51,46,1462.99988,1462.99988,132.999985,56.6484261,2.15052414,1.64574051,41,34.3556061
09/20/2021 14:08:33,7.8125,10.15625,8.984375,51,48,1462.99976,1462.99976,132.999969,56.53216,2.14611053,1.65015411,41,34.3556061
09/20/2021 14:08:34,6.25,10.15625,8.203125,53,46,2659.99976,2659.99976,133,56.53156,2.14608765,1.650177,41,34.3556061
09/20/2021 14:08:35,9.375,4.6875,7.03125,54,48,1462.99988,1462.99988,132.999985,56.5301552,2.14603424,1.65023041,41,34.3556061
09/20/2021 14:08:36,1.5625,0,0.78125,51,46,1462.99939,1462.99939,132.999939,56.5175934,2.1455574,1.65070724,41,34.3556061
09/20/2021 14:08:37,0.78125,3.90625,2.34375,53,47,1463.00012,1463.00012,133.000015,56.5157852,2.14548874,1.65077591,41,34.3556061
09/20/2021 14:08:38,0.78125,1.5625,1.171875,53,45,1196.99988,1462.99976,132.999985,56.48544,2.1443367,1.651928,41,34.3556061
09/20/2021 14:08:39,0,2.34375,1.171875,52,47,1463,1463,133,56.47519,2.1439476,1.652317,41,34.3556061
09/20/2021 14:08:40,2.34375,0.78125,1.5625,49,47,1462.99976,1462.99976,132.999969,56.472374,2.14384079,1.65242386,41,34.3556061
09/20/2021 14:08:41,2.34375,3.125,2.734375,50,46,1462.99963,1462.99963,132.999969,56.46946,2.14373016,1.65253448,41,34.3556061
09/20/2021 14:08:42,3.90625,5.46875,4.6875,52,46,1197,1197,133,56.46524,2.14357,1.6526947,41,34.3556061
09/20/2021 14:08:43,3.125,3.125,3.125,50,44,1462.99988,1462.99988,132.999985,56.45911,2.14333725,1.6529274,41,34.3556061
09/20/2021 14:08:44,0.78125,2.34375,1.5625,51,49,1197.00012,1197.00012,133.000015,56.4576035,2.14328,1.65298462,41,34.3556061
09/20/2021 14:08:45,2.34375,2.34375,2.34375,50,44,1462.99939,1462.99939,132.999939,56.2474861,2.1353035,1.66096115,41,34.3556061
09/20/2021 14:08:46,1.5625,1.5625,1.5625,51,45,1462.99988,1462.99988,132.999985,56.1955376,2.1333313,1.66293335,41,34.3556061
09/20/2021 14:08:47,0.78125,3.125,1.953125,51,43,1462.99976,1462.99976,132.999985,56.19373,2.13326263,1.663002,41,34.3556061
